station,date,PL,EPF,VSF,CF_data,AERSI,confidence,city,state,latitude,longitude
" Chhatikara, Vrindavan - UPPCB",2026-09-09,1.433,1.0,1.0,0.71,1.1971,Medium,Vrindavan,Uttar Pradesh,27.57194,77.62346
" Indira Nagar, Raebareli - NTPC Unchahar",2026-09-09,1.2405,1.0,1.0299,0.98,1.122,High,Raebareli,Uttar Pradesh,26.207781,81.245571
"15th Mile-Nongthymmai, Byrnihat -Meghalaya PCB",2026-09-09,1.7112,1.4216,1.8522,0.72,1.6664,Medium,Byrnihat,Meghalaya,26.079047,91.875185
"32Bungalows, Bhilai - CECB",2026-09-09,0.8013,1.0,1.1471,1.0,0.9264,High,Bhilai,Chhattisgarh,21.194815,81.31477
"AIIMS, Raipur - CECB",2026-09-09,0.7959,1.0,1.1615,1.0,0.9262,High,Raipur,Chhattisgarh,21.258815,81.578979
"Adarsh Nagar, Jaipur - RSPCB",2026-09-09,1.3876,1.2148,1.1498,0.96,1.2806,High,Jaipur,Rajasthan,26.902909,75.836858
"Airport Area, Indore - IMC",2026-09-09,1.2182,1.1491,1.391,0.94,1.241,High,Indore,Madhya Pradesh,22.7289,75.8076
"Alipur, Delhi - DPCC",2026-09-09,1.5728,1.5756,1.5288,0.87,1.5624,High,Delhi,Delhi,28.815329,77.15301
"Ambazari, Nagpur - MPCB",2026-09-09,1.069,1.0,1.1856,0.99,1.0789,High,Nagpur,Maharashtra,21.121801,79.04952
"Ambedkar Nagar, Nellore - APPCB ",2026-09-09,1.4406,1.2712,1.2501,0.99,1.3476,High,Nellore,Andhra Pradesh,14.438164,79.966814
"Amity University, Panchgaon - IITM",2026-09-09,1.5286,1.4382,1.6272,0.95,1.5292,High,Panchgaon,Haryana,28.3153,76.9143
"Anand Kala Kshetram, Rajamahendravaram - APPCB",2026-09-09,1.0434,1.0333,1.1707,1.0,1.0712,High,Rajamahendravaram,Andhra Pradesh,16.9872867,81.7363176
"Anand Nagar, Raebareli - UPPCB",2026-09-09,1.5047,1.2214,1.0,0.87,1.2896,High,Raebareli,Uttar Pradesh,26.219512,81.237648
"Anand Vihar, Delhi - DPCC",2026-09-09,2.5446,1.8235,1.4506,0.96,2.0343,High,Delhi,Delhi,28.647622,77.315809
"Anand Vihar, Hapur - UPPCB",2026-09-09,1.5091,1.5217,1.7275,0.94,1.5642,High,Hapur,Uttar Pradesh,28.725645,77.749675
"Anthoni Pillai Nagar, Gummidipoondi - TNPCB",2026-09-09,2.264,2.0,1.6327,0.9,2.0227,High,Gummidipoondi,Tamil Nadu,13.4127,80.1081
"Ardhali Bazar, Varanasi - UPPCB",2026-09-09,1.1183,1.0389,1.206,0.92,1.1188,High,Varanasi,Uttar Pradesh,25.3505986,82.9083074
"Arumbakkam, Chennai - TNPCB",2026-09-09,1.2626,1.0333,1.2501,0.9,1.1979,High,Chennai,Tamil Nadu,13.0664,80.2112
"Arya Nagar, Bahadurgarh - HSPCB",2026-09-09,1.4142,1.2,1.2505,1.0,1.3162,High,Bahadurgarh,Haryana,28.6701,76.9254
"Asansol Court Area, Asansol - WBPCB",2026-09-09,1.1751,1.0,1.2036,1.0,1.1354,High,Asansol,West Bengal,23.685297,86.945968
"Ashok Nagar, Udaipur - RSPCB",2026-09-09,1.5191,1.483,1.279,0.98,1.4464,High,Udaipur,Rajasthan,24.5886166,73.6321397
