country,state,city,station,last_update,latitude,longitude,pollutant_id,min_value,max_value,avg_value,snapshot_date,date,AQI
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",2026-09-04 14:00:00,26.2271665,84.3570427,PM2.5,30.0,72.0,48.0,2026-09-04,2026-09-04,79.72413793103448
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",2026-09-04 14:00:00,26.2271665,84.3570427,PM10,44.0,80.0,60.0,2026-09-04,2026-09-04,79.72413793103448
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",2026-09-04 14:00:00,26.2271665,84.3570427,NH3,1.0,1.0,1.0,2026-09-04,2026-09-04,79.72413793103448
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",2026-09-04 14:00:00,30.735567,76.775714,PM2.5,2.0,30.0,12.0,2026-09-04,2026-09-04,20.0
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",2026-09-04 14:00:00,30.751462,76.762879,NH3,11.0,15.0,13.0,2026-09-04,2026-09-04,26.666666666666668
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",2026-09-04 14:00:00,30.751462,76.762879,SO2,3.0,9.0,6.0,2026-09-04,2026-09-04,26.666666666666668
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC",2026-09-04 14:00:00,30.719859,76.738637,OZONE,7.0,25.0,17.0,2026-09-04,2026-09-04,28.75
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",2026-09-04 14:00:00,21.185571,81.343175,PM10,7.0,14.0,11.0,2026-09-04,2026-09-04,18.75
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC",2026-09-04 14:00:00,22.08815,82.13737,NO2,18.0,26.0,21.0,2026-09-04,2026-09-04,59.0
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC",2026-09-04 14:00:00,22.08815,82.13737,SO2,3.0,27.0,10.0,2026-09-04,2026-09-04,59.0
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",2026-09-04 14:00:00,22.118125,83.140608,NO2,9.0,16.0,12.0,2026-09-04,2026-09-04,55.0
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",2026-09-04 14:00:00,22.348441,82.549611,PM10,12.0,20.0,15.0,2026-09-04,2026-09-04,30.0
India,Chhattisgarh,Korba,"Rampur, Korba - CECB",2026-09-04 14:00:00,22.368195,82.746431,NO2,12.0,22.0,17.0,2026-09-04,2026-09-04,21.25
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",2026-09-04 14:00:00,24.762518,84.982348,SO2,8.0,9.0,9.0,2026-09-04,2026-09-04,56.06896551724138
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",2026-09-04 14:00:00,25.697189,85.2459,OZONE,21.0,69.0,40.0,2026-09-04,2026-09-04,69.58620689655173
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",2026-09-04 14:00:00,25.560083,87.553265,NH3,1.0,1.0,1.0,2026-09-04,2026-09-04,41.66666666666667
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",2026-09-04 14:00:00,26.0881305,87.93840336,SO2,7.0,11.0,9.0,2026-09-04,2026-09-04,78.0344827586207
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",2026-09-04 14:00:00,26.0881305,87.93840336,CO,38.0,43.0,40.0,2026-09-04,2026-09-04,78.0344827586207
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",2026-09-04 14:00:00,27.308328,84.531742,PM10,37.0,177.0,98.0,2026-09-04,2026-09-04,98.0
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",2026-09-04 14:00:00,26.63086,84.90051,NH3,1.0,1.0,1.0,2026-09-04,2026-09-04,57.0
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",2026-09-04 14:00:00,26.63086,84.90051,CO,11.0,14.0,13.0,2026-09-04,2026-09-04,57.0
India,Bihar,Munger,"Town Hall, Munger - BSPCB",2026-09-04 14:00:00,25.376776,86.471523,PM10,,,,2026-09-04,2026-09-04,
India,Bihar,Munger,"Town Hall, Munger - BSPCB",2026-09-04 14:00:00,25.376776,86.471523,SO2,68.0,78.0,73.0,2026-09-04,2026-09-04,
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",2026-09-04 14:00:00,26.11442,85.39813,OZONE,16.0,45.0,28.0,2026-09-04,2026-09-04,46.66666666666667
