country,state,city,station,last_update,latitude,longitude,pollutant_id,min_value,max_value,avg_value
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",09-06-2026 13:00:00,25.560083,87.553265,OZONE,12,68,34
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",09-06-2026 13:00:00,26.0881305,87.93840336,NO2,7,8,7
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",09-06-2026 13:00:00,27.308328,84.531742,PM10,NA,NA,NA
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",09-06-2026 13:00:00,27.308328,84.531742,CO,NA,NA,NA
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",09-06-2026 13:00:00,26.63086,84.90051,PM2.5,NA,NA,NA
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",09-06-2026 13:00:00,26.63086,84.90051,NH3,3,3,3
India,Bihar,Munger,"Town Hall, Munger - BSPCB",09-06-2026 13:00:00,25.376776,86.471523,OZONE,1,9,3
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",09-06-2026 13:00:00,26.11442,85.39813,NH3,NA,NA,NA
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",09-06-2026 13:00:00,26.11442,85.39813,OZONE,25,107,43
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",09-06-2026 13:00:00,26.1403345,85.3650192,OZONE,12,84,28
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",09-06-2026 13:00:00,26.1209,85.3647,NO2,6,12,8
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",09-06-2026 13:00:00,25.586562,85.043586,CO,29,51,44
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",09-06-2026 13:00:00,25.592539,85.227158,PM10,87,165,119
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",09-06-2026 13:00:00,25.610369,85.132568,OZONE,59,61,59
India,Bihar,Patna,"Muradpur, Patna - BSPCB",09-06-2026 13:00:00,25.619651,85.147382,PM2.5,71,83,76
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",09-06-2026 13:00:00,16.509717,80.612222,SO2,10,14,12
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",09-06-2026 13:00:00,17.72,83.3,PM2.5,16,182,64
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",09-06-2026 13:00:00,17.72,83.3,PM10,95,321,141
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",09-06-2026 13:00:00,17.72,83.3,OZONE,4,100,38
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",09-06-2026 13:00:00,27.103358,93.679645,OZONE,6,7,6
